               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11582,            0.062211,            0.050731,          0.00078781,            0.041762,          0.00051769,          0.00013908,             0.10714,            0.097377,            0.048442,               0.082,               0.002,               0.002
                   1,             0.11054,            0.065885,            0.048811,          0.00078446,            0.037208,          0.00048425,          0.00012716,             0.10502,             0.10008,            0.047902,            0.062897,            0.003897,            0.003897
                   2,             0.10486,            0.068349,            0.047304,          0.00073469,            0.035311,          0.00044462,          0.00011795,             0.10191,             0.10609,            0.046893,            0.043586,           0.0055862,           0.0055862
                   3,             0.10243,            0.066512,            0.044732,          0.00072546,            0.035692,          0.00043791,          0.00011216,             0.10051,             0.10943,            0.045349,            0.024067,           0.0070674,           0.0070674
                   4,            0.099807,            0.064283,            0.037925,          0.00069988,            0.043649,           0.0004173,          0.00011527,             0.10031,             0.11534,            0.037725,             0.00802,             0.00802,             0.00802
                   5,            0.095637,            0.061473,            0.036727,              0.2009,            0.018596,          0.00060296,           0.0001669,             0.10238,             0.14056,            0.035734,             0.00802,             0.00802,             0.00802
                   6,            0.092214,             0.06009,            0.036155,           0.0010059,            0.024288,          0.00058075,          0.00015799,            0.096985,             0.21346,             0.03462,            0.007525,            0.007525,            0.007525
                   7,            0.089458,            0.057878,            0.034316,             0.61295,            0.024675,           0.0047966,           0.0011447,            0.091476,             0.15796,            0.033508,             0.00703,             0.00703,             0.00703
                   8,            0.085893,            0.057658,             0.03177,             0.65381,            0.053531,            0.030142,           0.0084063,            0.088046,             0.12467,            0.030591,            0.006535,            0.006535,            0.006535
                   9,            0.083556,            0.056701,             0.02851,             0.69613,             0.11881,            0.050746,            0.011768,            0.082834,             0.10849,            0.030402,             0.00604,             0.00604,             0.00604
                  10,            0.080167,            0.059141,            0.026934,             0.65927,             0.16551,            0.054775,            0.013554,            0.082887,             0.10801,            0.028661,            0.005545,            0.005545,            0.005545
                  11,            0.077525,            0.054813,            0.024745,             0.75063,              0.1177,            0.091961,            0.026087,            0.076804,            0.095759,             0.02491,             0.00505,             0.00505,             0.00505
                  12,            0.075171,            0.055078,            0.023619,             0.71429,             0.11963,            0.082062,            0.022449,            0.075548,            0.091924,            0.020288,            0.004555,            0.004555,            0.004555
                  13,            0.073847,            0.055867,            0.022698,             0.75424,             0.14017,             0.13407,            0.042522,            0.069564,            0.093536,            0.019552,             0.00406,             0.00406,             0.00406
                  14,            0.072688,            0.055369,            0.022678,             0.77936,             0.14831,             0.14822,             0.04793,            0.069403,            0.090134,            0.019346,            0.003565,            0.003565,            0.003565
                  15,            0.070331,            0.054295,            0.021983,             0.61634,              0.2149,             0.17344,            0.064811,            0.069831,             0.08803,            0.018627,             0.00307,             0.00307,             0.00307
                  16,            0.068811,            0.055472,            0.021326,             0.70237,              0.2452,             0.21934,            0.083704,            0.064243,            0.087914,            0.018326,            0.002575,            0.002575,            0.002575
                  17,            0.068162,             0.05312,            0.021939,             0.81816,             0.17381,              0.2123,            0.084931,            0.062658,            0.086553,             0.01843,             0.00208,             0.00208,             0.00208
                  18,            0.067113,            0.051127,            0.022064,              0.8204,             0.17508,             0.22408,            0.085673,            0.062717,            0.085309,             0.01812,            0.001585,            0.001585,            0.001585
                  19,            0.065563,             0.04995,            0.020523,             0.81498,             0.18057,               0.229,            0.086818,            0.061908,            0.085004,            0.017962,             0.00109,             0.00109,             0.00109
